G,IP,BF,H,R,BB,IBB,Auto BB,K,HR,1B,RGO,LGO,FO,PO,LO,ERA,WHIP,H/6,HR/6,BB/6,K/6,K/BB,BAA,OBPA,SLGA,OPSA,BABIP_A,HR%_A,K%_A,BB%_A,GB%_A,FB%_A,GB/FB_A,Avg Diff,RE24,WPA,AB_A,SF_A,SH_A,2B_A,3B_A,GB_outs_A,FB_outs_A,SB_A,CS_A,SB%_A,Season,Pitcher ID,Team,is_sub_row,Last Team,FIP,nIP,ERA+,nRuns,GS,GF,CG,SHO,W,L,SV,HLD,W-L%,WAR
6.0,9.0,45.0,15.0,12.0,3.0,1.0,0.0,2.0,3.0,4.0,7.0,10.0,5.0,3.0,0.0,8.0,2.0,10.0,2.0,2.0,1.3333333333333333,0.6666666666666666,0.35714285714285715,0.4,0.7619047619047619,1.1619047619047618,0.32432432432432434,0.06666666666666667,0.044444444444444446,0.06666666666666667,0.68,0.32,2.125,248.1590909090909,3.4689250366304143,0.48269999999999996,42.0,0.0,0.0,8.0,0.0,17.0,8.0,0.0,0.0,0.0,S7,3,KCR,False,KCR,6.062165058949625,10.666666666666666,43.0,15.179166666666667,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,-0.1711646555617756
9.0,22.333333333333332,100.0,27.0,16.0,9.0,2.0,0.0,11.0,6.0,12.0,8.0,9.0,10.0,26.0,0.0,4.298507462686567,1.6119402985074627,7.253731343283583,1.6119402985074627,2.417910447761194,2.955223880597015,1.2222222222222223,0.2967032967032967,0.36,0.6153846153846154,0.9753846153846154,0.28378378378378377,0.06,0.11,0.09,0.3333333333333333,0.6666666666666666,0.5,249.0392156862745,1.1898028577404427,-0.13269999999999987,91.0,0.0,0.0,7.0,2.0,18.0,36.0,2.0,2.0,0.5,S7,5,BAL,False,BAL,4.889694080508497,23.333333333333332,90.0,15.865304228111178,5.0,2.0,0.0,0.0,3.0,3.0,0.0,1.0,0.5,0.27152604333987984
9.0,33.333333333333336,139.0,33.0,22.0,10.0,0.0,0.0,30.0,8.0,16.0,16.0,9.0,26.0,15.0,0.0,3.9599999999999995,1.2899999999999998,5.9399999999999995,1.44,1.7999999999999998,5.3999999999999995,3.0,0.25984251968503935,0.30935251798561153,0.5354330708661418,0.8447855888517533,0.27472527472527475,0.05755395683453238,0.2158273381294964,0.07194244604316546,0.4142857142857143,0.5857142857142857,0.7073170731707317,256.28057553956836,0.4550893317633602,-0.22399999999999995,127.0,2.0,0.0,7.0,2.0,29.0,41.0,0.0,0.0,0.0,S7,10,TBR,False,TBR,3.3932761700607355,34.333333333333336,95.0,22.19544704725824,5.0,5.0,1.0,1.0,3.0,1.0,1.0,0.0,0.75,0.4972948642920184
1.0,2.0,9.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,3.0,0.0,0.0,9.0,2.0,12.0,3.0,0.0,0.0,0.0,0.4444444444444444,0.4444444444444444,0.8888888888888888,1.3333333333333333,0.375,0.1111111111111111,0.0,0.0,0.5,0.5,1.0,192.22222222222223,2.924853285977885,-0.18130000000000002,9.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,S7,13,LAA,False,LAA,7.673276170060736,2.0,41.0,2.9591836734693877,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.25733975897753536
1.0,2.0,9.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,6.0,1.5,9.0,3.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.7777777777777778,1.1111111111111112,0.25,0.1111111111111111,0.0,0.0,0.3333333333333333,0.6666666666666666,0.5,243.66666666666666,0.6437797416723317,-0.23839999999999997,9.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,S7,21,BOS,False,BOS,7.673276170060736,2.0,61.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.029232404546979996
11.0,23.333333333333332,91.0,24.0,12.0,6.0,0.0,0.0,6.0,4.0,12.0,18.0,19.0,12.0,6.0,0.0,3.085714285714286,1.2857142857142858,6.171428571428573,1.0285714285714285,1.5428571428571431,1.5428571428571431,1.0,0.2857142857142857,0.32967032967032966,0.5357142857142857,0.8653846153846154,0.26666666666666666,0.04395604395604396,0.06593406593406594,0.06593406593406594,0.71875,0.28125,2.5555555555555554,276.4065934065934,-11.591764290543482,0.5517000000000002,84.0,1.0,0.0,7.0,1.0,46.0,18.0,0.0,0.0,0.0,S7,28,SFG,False,SFG,3.6589904557750215,25.0,73.0,20.895506092011047,2.0,9.0,1.0,1.0,1.0,2.0,2.0,0.0,0.3333333333333333,1.5145371885480192
10.0,30.333333333333332,148.0,51.0,20.0,13.0,0.0,0.0,34.0,6.0,33.0,12.0,10.0,19.0,9.0,0.0,3.956043956043956,2.10989010989011,10.087912087912088,1.186813186813187,2.5714285714285716,6.725274725274725,2.6153846153846154,0.38636363636363635,0.43243243243243246,0.6287878787878788,1.0612203112203114,0.47368421052631576,0.04054054054054054,0.22972972972972974,0.08783783783783784,0.5087719298245614,0.49122807017543857,1.0357142857142858,228.0952380952381,1.3133369590499058,-0.3938999999999999,132.0,3.0,0.0,10.0,2.0,29.0,28.0,0.0,0.0,0.0,S7,37,MIA,False,MIA,2.788660785445351,31.0,73.0,26.185417351083036,6.0,4.0,1.0,1.0,2.0,3.0,1.0,0.0,0.4,0.446615671183617
1.0,3.3333333333333335,17.0,5.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,7.199999999999999,2.1,9.0,0.0,3.5999999999999996,3.5999999999999996,1.0,0.3333333333333333,0.4117647058823529,0.7333333333333333,1.1450980392156862,0.38461538461538464,0.0,0.11764705882352941,0.11764705882352941,0.375,0.625,0.6,242.05555555555554,1.4627391529915035,0.05549999999999999,15.0,0.0,0.0,4.0,1.0,3.0,5.0,1.0,0.0,1.0,S7,46,CIN,False,CIN,1.7732761700607358,4.0,245.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.07988783934978325
2.0,0.3333333333333333,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,3.0,0.0,0.0,18.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0,289.5,1.0529820197785151,-0.000899999999999998,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,S7,73,COL,False,COL,10.173276170060735,0.6666666666666666,35.0,1.1558428289060847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09748807539557303
6.0,35.333333333333336,143.0,30.0,18.0,9.0,0.0,0.0,25.0,12.0,10.0,17.0,20.0,26.0,15.0,0.0,3.0566037735849054,1.1037735849056602,5.094339622641509,2.0377358490566038,1.5283018867924527,4.245283018867925,2.7777777777777777,0.22900763358778625,0.2727272727272727,0.5801526717557252,0.8528799444829979,0.18556701030927836,0.08391608391608392,0.17482517482517482,0.06293706293706294,0.4810126582278481,0.5189873417721519,0.926829268292683,262.5833333333333,-7.720853773453667,0.32379999999999987,131.0,3.0,0.0,6.0,2.0,38.0,41.0,2.0,1.0,0.6666666666666666,S7,74,CIN,False,CIN,4.9374271134569625,34.666666666666664,89.0,23.998249750771944,6.0,4.0,4.0,0.0,3.0,3.0,0.0,0.0,0.5,1.3305094279782783
