G,PA,AB,H,R,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,OPS,Avg Diff,nOBP,nSLG,RE24,Season,Hitter ID,WAR
9.0,22.0,17.0,4.0,5.0,0.0,1.0,2.0,4.0,5.0,4.0,0.0,0.0,0.23529411764705882,0.4090909090909091,0.7058823529411765,1.1149732620320856,236.8181818181818,0.18181818181818182,0.5909090909090909,3.4487593805225076,S11,1,0.43355142392518886
3.0,9.0,9.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,203.0,0.3333333333333333,0.3333333333333333,0.747873275019489,S11,10,0.11106366263178721
10.0,29.0,21.0,5.0,6.0,0.0,0.0,2.0,5.0,8.0,9.0,1.0,0.0,0.23809523809523808,0.4482758620689655,0.5238095238095238,0.9720853858784894,218.76666666666668,0.1724137931034483,0.3103448275862069,2.8715957376948396,S11,14,0.4040499869656296
13.0,35.0,24.0,6.0,10.0,4.0,0.0,2.0,4.0,10.0,5.0,2.0,0.0,0.25,0.45714285714285713,0.6666666666666666,1.1238095238095238,222.75,0.2,0.5151515151515151,6.818284106059289,S11,20,0.8229030472219667
15.0,42.0,38.0,12.0,5.0,5.0,0.0,3.0,6.0,4.0,6.0,3.0,2.0,0.3157894736842105,0.38095238095238093,0.6842105263157895,1.0651629072681703,235.27659574468086,0.2857142857142857,0.6666666666666666,-1.186080835711591,S11,32,0.050681480368086375
16.0,50.0,41.0,17.0,13.0,3.0,3.0,5.0,15.0,8.0,3.0,1.0,0.0,0.4146341463414634,0.5,1.0,1.5,212.11764705882354,0.34,0.8571428571428571,8.354655170249345,S11,34,1.037000712190703
13.0,37.0,36.0,11.0,5.0,5.0,0.0,0.0,2.0,1.0,8.0,1.0,0.0,0.3055555555555556,0.32432432432432434,0.4444444444444444,0.7687687687687688,242.94736842105263,0.2702702702702703,0.40540540540540543,-0.9021895111231534,S11,48,0.058917093310353295
5.0,12.0,12.0,4.0,3.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.8333333333333334,1.1666666666666667,241.58333333333334,0.3333333333333333,0.75,3.067025206734982,S11,54,0.35507096751328265
5.0,9.0,9.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.7777777777777777,257.55555555555554,0.3333333333333333,0.4444444444444444,-1.4615909762351436,S11,55,-0.10988276249367604
8.0,25.0,21.0,4.0,7.0,2.0,0.0,0.0,4.0,4.0,5.0,0.0,0.0,0.19047619047619047,0.32,0.2857142857142857,0.6057142857142856,234.45833333333334,0.16,0.24,2.90639364224029,S11,59,0.3914069618069132
14.0,35.0,30.0,8.0,6.0,1.0,0.0,1.0,7.0,5.0,6.0,1.0,0.0,0.26666666666666666,0.37142857142857144,0.4,0.7714285714285715,247.86111111111111,0.22857142857142856,0.34285714285714286,-0.10299317508678785,S11,65,0.13077531910735912
12.0,32.0,30.0,14.0,7.0,3.0,0.0,3.0,7.0,2.0,3.0,1.0,0.0,0.4666666666666667,0.5,0.8666666666666667,1.3666666666666667,196.3939393939394,0.4375,0.8125,5.419065862306745,S11,66,0.6708891111367663
14.0,36.0,31.0,5.0,3.0,1.0,0.0,2.0,5.0,5.0,6.0,0.0,0.0,0.16129032258064516,0.2777777777777778,0.3870967741935484,0.6648745519713262,288.9166666666667,0.1388888888888889,0.3333333333333333,-3.9842617572767436,S11,68,-0.25332083520832105
8.0,20.0,18.0,4.0,1.0,2.0,0.0,0.0,1.0,2.0,5.0,0.0,0.0,0.2222222222222222,0.3,0.3333333333333333,0.6333333333333333,228.6,0.2,0.25,-0.3365683044122354,S11,71,0.04695724762508383
16.0,44.0,42.0,14.0,11.0,4.0,1.0,6.0,12.0,2.0,8.0,0.0,0.0,0.3333333333333333,0.36363636363636365,0.9047619047619048,1.2683982683982684,229.5,0.3181818181818182,0.8863636363636364,4.891689108415503,S11,80,0.6665198825874266
12.0,34.0,31.0,11.0,6.0,3.0,0.0,0.0,3.0,3.0,6.0,0.0,1.0,0.3548387096774194,0.4117647058823529,0.45161290322580644,0.8633776091081593,253.54285714285714,0.29411764705882354,0.38235294117647056,2.487512899165539,S11,81,0.3857952226292764
13.0,39.0,34.0,15.0,7.0,4.0,1.0,3.0,6.0,4.0,7.0,0.0,0.0,0.4411764705882353,0.48717948717948717,0.8823529411764706,1.3695324283559578,204.3846153846154,0.358974358974359,0.7631578947368421,7.027850911946172,S11,82,0.8599825434239164
7.0,17.0,11.0,2.0,2.0,0.0,0.0,0.0,1.0,5.0,4.0,0.0,0.0,0.18181818181818182,0.4117647058823529,0.18181818181818182,0.5935828877005347,240.7058823529412,0.11764705882352941,0.125,0.4661172982632011,S11,84,0.11513369618268136
9.0,22.0,21.0,5.0,2.0,0.0,1.0,0.0,2.0,1.0,3.0,1.0,0.0,0.23809523809523808,0.2727272727272727,0.3333333333333333,0.606060606060606,261.95652173913044,0.22727272727272727,0.3181818181818182,-3.199460489931293,S11,89,-0.23127056312019117
14.0,38.0,35.0,9.0,5.0,0.0,1.0,4.0,6.0,3.0,16.0,0.0,0.0,0.2571428571428571,0.3157894736842105,0.6571428571428571,0.9729323308270676,246.10526315789474,0.23684210526315788,0.6052631578947368,-3.669333484154276,S11,91,-0.2137666000894436
9.0,26.0,23.0,6.0,4.0,1.0,0.0,3.0,7.0,3.0,7.0,0.0,0.0,0.2608695652173913,0.34615384615384615,0.6956521739130435,1.0418060200668897,259.9230769230769,0.23076923076923078,0.6153846153846154,-2.0725981168997043,S11,93,-0.10246151020377085
11.0,25.0,24.0,6.0,6.0,1.0,1.0,3.0,9.0,1.0,2.0,0.0,0.0,0.25,0.28,0.75,1.03,259.84,0.24,0.76,-0.6682233274549855,S11,99,0.03394526483738566
12.0,32.0,30.0,8.0,3.0,3.0,0.0,1.0,6.0,2.0,2.0,4.0,1.0,0.26666666666666666,0.3125,0.4666666666666667,0.7791666666666667,247.67567567567568,0.25,0.4375,-4.356572361324581,S11,104,-0.30667471122636625
15.0,46.0,43.0,11.0,5.0,2.0,0.0,1.0,3.0,3.0,11.0,4.0,1.0,0.2558139534883721,0.30434782608695654,0.37209302325581395,0.6764408493427705,258.3137254901961,0.21739130434782608,0.32608695652173914,-2.8308402429360795,S11,108,-0.09767164474110099
2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,318.3333333333333,0.0,0.0,-1.5897014455001663,S11,109,-0.14687803284007053
