ID,Season,Display Season,Team,Franchise,HR,3B,2B,1B,BB,IBB,Auto BB,FO,SO,PO,RGO,LGO,LO,SF,SH,GO,DP,TP,SB,CS,H,IP,BF,AB,TB,G_list,G,ER,Total Diff,Total Plays,RE24,WAR,WPA,0 Diffs,500 Diffs,300+ Pitches,400+ Pitches,Last Team,Last Session,W,L,SV,HLD,BS,GS,GF,CG,SHO,OPP,nER,nIP,FIP Constant,lgnER,lgnIP,lgnERA,ERA,WHIP,FIP,H6,HR6,BB6,SO6,SO/BB,BA,OBP,SLG,OPS,BABIP,SB%,HR%,K%,BB%,GB%,FB%,GB/FB,W-L%,SV%,nERA,Avg Diff,Name,Batting Type,Pitching Type,Handedness,Position,Pitching Type (Main),ERA-
3,4,S4,KCR,KCR,1,1,2,2,4,0,0,0,3,1,5,2,0,0,0,7,1,0,1,1,6,4.333333333333333,21,17,13,"{4008, 4011}",2,6,5201.0,23,1.7085020242914977,-0.09722708685126039,-0.22949999999999998,0,0,8,3,KCR,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.28,4.666666666666667,2.267002518891688,120.36714616583038,131.0,5.512999061030399,8.307692307692308,2.307692307692308,6.6516179035070735,8.307692307692308,1.3846153846153846,5.538461538461538,4.153846153846154,0.75,0.35294117647058826,0.47619047619047616,0.6190476190476191,1.0952380952380953,0.38461538461538464,0.5,0.047619047619047616,0.14285714285714285,0.19047619047619047,0.875,0.0,inf,,,5.502857142857143,226.1304347826087,Syd Kidd,BN,EG-B,Left,P,EG,99.81603627969128
3,5,S5,KCR,KCR,0,0,3,2,1,0,0,1,1,0,1,2,0,0,0,3,0,0,0,0,5,1.6666666666666667,11,10,8,{5009},1,4,2250.0,11,4.679197994987469,-0.4205192016499582,-0.1142,0,0,3,2,KCR,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.333333333333333,1.6666666666666667,1.7421875,84.49051983838244,128.66666666666666,3.9399724276965906,14.399999999999999,3.5999999999999996,2.3421875,18.0,0.0,3.5999999999999996,3.5999999999999996,1.0,0.5,0.5454545454545454,0.7272727272727273,1.2727272727272727,0.5555555555555556,,0.0,0.09090909090909091,0.09090909090909091,0.75,0.25,3.0,,,15.599999999999998,204.54545454545453,Syd Kidd,BN,EG-B,Left,P,EG,395.9418571139636
3,7,S7,KCR,KCR,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,3,0,0,0,0,0,1.6666666666666667,5,5,0,{7004},1,0,1728.0,5,-1.6934306569343067,0.18854464162448045,0.43029999999999996,0,0,4,1,KCR,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.6666666666666667,1.866498740554156,100.98740211873977,132.66666666666666,4.56726944255607,0.0,0.0,1.866498740554156,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.6,0.0,inf,,1.0,0.0,345.6,Syd Kidd,P,EG-B,Left,P,EG,0.0
3,8,S8,KCR,KCR,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,1.3333333333333333,5,5,3,"{8008, 8003}",2,0,1112.0,5,-1.288095238095238,0.1411302302189969,0.07080000000000002,0,0,0,0,KCR,2,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.3333333333333333,2.13953488372093,102.45496507182541,129.0,4.765347212643043,0.0,0.75,-2.36046511627907,4.5,0.0,0.0,13.5,inf,0.2,0.2,0.6,0.8,0.5,,0.0,0.6,0.0,0.0,1.0,0.0,,1.0,0.0,222.4,Syd Kidd,P,EG-B,Left,P,EG,0.0
4,4,S4,BAL,BAL,0,0,1,0,1,0,0,1,0,1,2,0,0,0,0,2,0,0,0,0,1,1.3333333333333333,6,5,2,{4003},1,0,1569.0,6,-1.5894736842105264,0.1781533985718064,0.2011,0,0,3,2,BAL,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3333333333333333,2.267002518891688,120.36714616583038,131.0,5.512999061030399,0.0,1.5,4.5170025188916885,4.5,0.0,4.5,0.0,0.0,0.2,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.2,,0.0,0.0,0.16666666666666666,0.5,0.25,2.0,1.0,,0.0,261.5,Chip Otle,MH,BS-H,Left,P,BS,0.0
5,6,S6,BAL,BAL,0,0,0,2,0,0,0,3,0,4,0,2,0,0,0,2,0,0,1,0,2,3.0,11,11,2,{6007},1,0,3246.0,12,-3.583333333333333,0.41011400198900194,0.030599999999999995,0,0,6,3,BAL,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.7744360902255636,96.46548702415575,132.0,4.384794864734352,0.0,0.6666666666666666,0.7744360902255636,4.0,0.0,0.0,0.0,,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.36363636363636365,0.18181818181818182,1.0,0.0,0.0,0.0,0.2222222222222222,0.3333333333333333,0.6666666666666666,,,0.0,270.5,Y.E. Wally,P,WC-H,Right,P,WC,0.0
5,9,S9,TEX,TEX,0,0,1,1,0,0,0,2,0,2,0,1,0,0,0,1,0,0,0,0,2,1.6666666666666667,7,7,3,{9008},1,0,1656.0,7,0.13809523809523805,0.016312350333976593,-0.055499999999999994,0,0,2,1,TEX,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.8267716535433074,67.7720733100039,127.0,3.201830235118295,0.0,1.2,0.8267716535433074,7.199999999999999,0.0,0.0,0.0,,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.7142857142857142,0.2857142857142857,,0.0,0.0,0.0,0.2,0.4,0.5,,,0.0,236.57142857142858,Y.E. Wally,P,WC-H,Right,P,WC,0.0
10,7,S7,TBR,TBR,2,0,1,1,3,0,0,4,1,2,0,3,0,1,0,3,0,0,0,0,4,3.3333333333333335,17,13,11,{7008},1,4,3918.0,17,1.566483557829784,-0.09136299761740915,-0.13440000000000002,0,0,6,4,TBR,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.34020618556701,3.3333333333333335,1.866498740554156,100.98740211873977,132.66666666666666,4.56726944255607,7.199999999999999,2.1,11.766498740554157,7.199999999999999,3.5999999999999996,5.3999999999999995,1.7999999999999998,0.3333333333333333,0.3076923076923077,0.4117647058823529,0.6470588235294118,1.0588235294117647,0.18181818181818182,,0.11764705882352941,0.058823529411764705,0.17647058823529413,0.3333333333333333,0.4444444444444444,0.75,,,7.8123711340206174,230.47058823529412,Holden Summers,P,BS-H,Left,P,BS,171.05124259208208
18,4,S4,BOS,BOS,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0.3333333333333333,3,3,2,{4004},1,1,635.0,4,1.1005717255717256,-0.09725315245667004,-0.2673,0,0,1,0,BOS,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.3333333333333333,2.267002518891688,120.36714616583038,131.0,5.512999061030399,18.0,6.0,2.267002518891688,36.0,0.0,0.0,0.0,,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,22.5,158.75,Jordan Peppers,1B,FP-H,Right,PH,FP,408.1263165641583
20,4,S4,LAD,LAD,0,0,2,4,2,0,0,5,2,4,5,4,0,0,0,9,0,0,1,1,6,7.0,28,26,8,"{4011, 4007}",2,4,8702.0,30,-0.3157894736842106,0.12760909812218985,0.4564,0,0,15,9,LAD,4,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0394736842105265,7.666666666666667,2.267002518891688,120.36714616583038,131.0,5.512999061030399,3.4285714285714284,1.1428571428571428,2.5527168046059736,5.142857142857142,0.0,1.7142857142857142,1.7142857142857142,1.0,0.23076923076923078,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.25,0.5,0.0,0.07142857142857142,0.07142857142857142,0.5,0.2777777777777778,1.7999999999999998,1.0,,2.378718535469108,290.06666666666666,Q Kimbrel,BN,NH-S,Right,P,NH,43.147450401062045
21,2,S2,BOS,BOS,1,0,1,3,1,0,0,3,2,0,3,6,0,0,0,9,1,0,1,0,5,5.0,20,19,9,{2003},1,2,5951.0,21,-0.38636363636363624,0.12756269592476488,0.07009999999999998,0,0,9,6,BOS,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,0.5487804878048783,35.16753393665158,82.0,2.573234190486701,2.4000000000000004,1.2,2.9487804878048784,6.0,1.2000000000000002,1.2000000000000002,2.4000000000000004,2.0,0.2631578947368421,0.3,0.45,0.75,0.25,1.0,0.05,0.1,0.05,0.75,0.25,3.0,0.0,,2.4000000000000004,283.3809523809524,Silver Edgeworth,BP,BF-B,Right,P,BF,93.26784203602024
22,4,S4,BOS,BOS,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,2,0.6666666666666666,4,4,6,{4004},1,1,843.0,4,2.0443175245806824,-0.19162773235756578,-0.3603,0,0,2,1,BOS,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.5480769230769231,0.6666666666666666,2.267002518891688,120.36714616583038,131.0,5.512999061030399,9.0,3.0,18.767002518891687,18.0,9.0,0.0,9.0,inf,0.5,0.5,1.5,2.0,0.5,,0.25,0.25,0.0,1.0,0.0,inf,,0.0,13.93269230769231,210.75,Spike Suzuki,BP,NT-B,Left,P,NT,252.7243729493442
28,7,S7,SFG,SFG,1,0,2,2,4,0,0,3,2,2,1,4,0,1,0,5,2,0,0,0,5,4.666666666666667,21,16,10,"{7002, 7005}",2,3,5002.0,20,-0.1338199513381998,0.09402861404422905,-0.7117,1,0,8,5,SFG,2,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,1.866498740554156,100.98740211873977,132.66666666666666,4.56726944255607,3.8571428571428568,1.9285714285714284,6.366498740554156,6.428571428571429,1.2857142857142856,5.142857142857142,2.571428571428571,0.5,0.3125,0.42857142857142855,0.47619047619047616,0.9047619047619047,0.2857142857142857,,0.047619047619047616,0.09523809523809523,0.19047619047619047,0.5,0.3,1.6666666666666667,0.5,,2.4000000000000004,250.1,Barney Turbo,P,TD-S,Right,P,TD,52.54780849226276
37,4,S4,MIA,FLA,1,0,2,1,1,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,4,1.3333333333333333,9,8,9,{4002},1,5,1670.0,9,1.7543859649122806,-0.1466295512650974,-0.2966,0,0,2,1,FLA,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.153846153846153,1.3333333333333333,2.267002518891688,120.36714616583038,131.0,5.512999061030399,22.5,3.75,12.767002518891688,18.0,4.5,4.5,4.5,1.0,0.5,0.5555555555555556,1.0,1.5555555555555556,0.5,,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.6666666666666666,0.5,0.0,,18.69230769230769,185.55555555555554,Artanis Jones,SM,BS-H,Left,P,BS,339.0587860686853
37,8,S8,MIA,FLA,2,0,2,1,2,1,0,4,8,0,2,3,0,0,0,5,1,0,2,0,5,6.0,24,22,13,"{8009, 8006}",2,5,6121.0,23,-0.48214285714285665,0.10981781776165117,0.011800000000000036,0,0,11,5,FLA,3,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,5.0,6.0,2.13953488372093,102.45496507182541,129.0,4.765347212643043,5.0,1.1666666666666667,4.8062015503875966,5.0,2.0,2.0,8.0,4.0,0.22727272727272727,0.2916666666666667,0.5416666666666666,0.8333333333333333,0.25,1.0,0.08333333333333333,0.3333333333333333,0.08333333333333333,0.5555555555555556,0.4444444444444444,1.2500000000000002,0.5,,5.0,266.1304347826087,Artanis Jones,P,BS-H,Left,P,BS,104.92414879516848
37,10,S10,MIA,FLA,0,0,2,2,4,0,0,2,2,2,1,3,0,0,0,4,1,0,0,0,4,3.6666666666666665,18,14,6,{10243},1,4,4645.0,18,0.05714285714285694,0.07446191786697164,0.022100000000000005,0,0,8,5,FLA,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,1.2135678391959797,62.139970347113206,135.33333333333334,2.7549740547981223,6.545454545454547,2.181818181818182,3.3953860210141618,6.545454545454547,0.0,6.545454545454547,3.2727272727272734,0.5,0.2857142857142857,0.4444444444444444,0.3333333333333333,0.7777777777777777,0.3333333333333333,,0.0,0.1111111111111111,0.2222222222222222,0.5,0.25,2.0,0.0,,1.5,258.05555555555554,Artanis Jones,P,BS-H,Left,P,BS,54.446973734201514
37,11,S11,FLA,FLA,0,0,0,2,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,2,1.3333333333333333,7,6,2,{11244},1,1,1740.0,7,-0.20948924034223493,0.03861154449382318,-9.999999999999983e-05,0,0,3,1,FLA,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.5483870967741935,82.70298807933077,127.0,3.907227783275469,4.5,2.25,2.2983870967741935,9.0,0.0,4.5,4.5,1.0,0.3333333333333333,0.42857142857142855,0.2857142857142857,0.7142857142857142,0.4,,0.0,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.3333333333333333,1.0,,,0.0,248.57142857142858,Artanis Jones,P,BS-H,Left,P,BS,0.0
