G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,Avg Diff,nOBP,nSLG,RE24,WPA,GB_outs,FB_outs,Season,Hitter ID,Team,is_sub_row,Last Team,WAR
13.0,36.0,35.0,11.0,7.0,2.0,4.0,2.0,3.0,28.0,9.0,1.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,5.0,0.0,0.3142857142857143,0.3333333333333333,0.8,1.1333333333333333,0.48571428571428577,0.3333333333333333,1.0,0.08333333333333333,0.2222222222222222,0.027777777777777776,0.125,0.875,0.14285714285714285,226.94736842105263,0.3333333333333333,0.8,2.32565896966383,0.178,2.0,14.0,S10,1,STL,False,STL,0.3735608981565758
14.0,31.0,29.0,8.0,1.0,7.0,1.0,0.0,0.0,9.0,0.0,2.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,4.0,4.0,0.0,0.27586206896551724,0.3225806451612903,0.3103448275862069,0.6329254727474972,0.03448275862068967,0.38095238095238093,0.0,0.0,0.25806451612903225,0.06451612903225806,0.42857142857142855,0.5714285714285714,0.75,269.64516129032256,0.3225806451612903,0.3103448275862069,-2.3175988169325263,-0.33659999999999995,6.0,8.0,S10,10,ANA,False,ANA,-0.11034751955725326
15.0,47.0,39.0,10.0,9.0,2.0,1.0,0.0,7.0,32.0,12.0,8.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,6.0,2.0,0.0,0.2564102564102564,0.3829787234042553,0.8205128205128205,1.203491543917076,0.5641025641025641,0.16666666666666666,0.0,0.14893617021276595,0.2978723404255319,0.1702127659574468,0.4666666666666667,0.5333333333333333,0.875,231.08510638297872,0.3829787234042553,0.8205128205128205,0.30249977940155637,0.3232999999999999,7.0,8.0,S10,14,ARI,False,ARI,0.21432678504957403
11.0,30.0,25.0,4.0,5.0,0.0,1.0,1.0,2.0,13.0,7.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,5.0,7.0,2.0,0.0,0.16,0.26666666666666666,0.52,0.7866666666666666,0.36,0.10526315789473684,0.0,0.06666666666666667,0.16666666666666666,0.13333333333333333,0.47368421052631576,0.5263157894736842,0.9,261.06666666666666,0.26666666666666666,0.52,-1.3502008744761613,0.05219999999999999,9.0,10.0,S10,20,PHI,False,PHI,-0.017524253122455445
9.0,21.0,19.0,4.0,3.0,2.0,1.0,0.0,1.0,8.0,5.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,7.0,1.0,0.0,0.21052631578947367,0.23809523809523808,0.42105263157894735,0.6591478696741855,0.21052631578947367,0.1875,0.0,0.047619047619047616,0.14285714285714285,0.047619047619047616,0.4,0.6,0.6666666666666666,258.8095238095238,0.23809523809523808,0.42105263157894735,-3.4546698570017385,0.026499999999999975,6.0,9.0,S10,22,SFG,False,SFG,-0.2632199016725614
6.0,10.0,8.0,2.0,1.0,0.0,1.0,0.0,1.0,6.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,0.25,0.2,0.75,0.95,0.5,0.16666666666666666,0.0,0.1,0.3,0.0,0.375,0.625,0.6,277.1,0.2,0.75,-5.761344680703627,-0.7043,3.0,5.0,S10,32,BAL,False,BAL,-0.5369691899619757
16.0,51.0,46.0,10.0,8.0,7.0,2.0,1.0,0.0,14.0,3.0,4.0,0.0,11.0,1.0,3.0,2.0,0.0,1.0,2.0,10.0,4.0,10.0,2.0,0.0,0.21739130434782608,0.27450980392156865,0.30434782608695654,0.5788576300085252,0.08695652173913046,0.2777777777777778,0.6,0.0,0.21568627450980393,0.0784313725490196,0.5517241379310345,0.4482758620689655,1.2307692307692308,268.1636363636364,0.27450980392156865,0.30434782608695654,0.2836417190185602,-0.8415999999999999,16.0,13.0,S10,34,BOS,False,BOS,0.22810709025462916
7.0,19.0,17.0,2.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,6.0,1.0,0.0,0.11764705882352941,0.21052631578947367,0.17647058823529413,0.38699690402476783,0.05882352941176472,0.14285714285714285,0.0,0.0,0.15789473684210525,0.10526315789473684,0.4166666666666667,0.5833333333333334,0.7142857142857143,278.8421052631579,0.21052631578947367,0.17647058823529413,-3.6041552465400897,-0.3996,5.0,7.0,S10,41,CIN,False,CIN,-0.28600149624807386
11.0,28.0,27.0,8.0,2.0,7.0,1.0,0.0,0.0,9.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,7.0,7.0,2.0,0.0,0.2962962962962963,0.32142857142857145,0.3333333333333333,0.6547619047619048,0.037037037037037035,0.3076923076923077,0.0,0.0,0.03571428571428571,0.03571428571428571,0.5714285714285714,0.42857142857142855,1.3333333333333333,265.14285714285717,0.32142857142857145,0.3333333333333333,-3.2849580049612848,0.15830000000000002,12.0,9.0,S10,48,SFG,False,SFG,-0.21883302179264516
9.0,26.0,24.0,5.0,2.0,2.0,1.0,1.0,1.0,11.0,2.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,3.0,0.0,0.20833333333333334,0.2692307692307692,0.4583333333333333,0.7275641025641025,0.24999999999999997,0.2857142857142857,0.0,0.038461538461538464,0.34615384615384615,0.07692307692307693,0.3,0.7,0.42857142857142855,256.9230769230769,0.2692307692307692,0.4583333333333333,-1.1533112244351895,0.1599,3.0,7.0,S10,55,CIN,False,CIN,-0.013501399361713018
