G,IP,BF,H,R,ER,BB,IBB,Auto BB,K,HR,1B,RGO,LGO,FO,PO,LO,ERA,WHIP,H/6,HR/6,BB/6,K/6,K/BB,BAA,OBPA,SLGA,OPSA,BABIP_A,HR%_A,K%_A,BB%_A,GB%_A,FB%_A,GB/FB_A,Avg Diff,RE24,WPA,AB_A,SF_A,SH_A,2B_A,3B_A,GB_outs_A,FB_outs_A,SB_A,CS_A,SB%_A,Season,Pitcher ID,Team,is_sub_row,Last Team,FIP,nIP,ERA+,nRuns,GS,GF,CG,SHO,W,L,SV,HLD,W-L%,WAR
12.0,33.333333333333336,146.0,37.0,19.0,19.0,13.0,2.0,1.0,29.0,9.0,20.0,18.0,18.0,27.0,3.0,0.0,3.42,1.5,6.659999999999999,1.6199999999999997,2.34,5.219999999999999,2.230769230769231,0.2824427480916031,0.3424657534246575,0.549618320610687,0.8920840740353446,0.29473684210526313,0.06164383561643835,0.19863013698630136,0.08904109589041095,0.5714285714285714,0.42857142857142855,1.3333333333333333,257.9793103448276,-1.32557387263043,-0.5555159999999999,131.0,2.0,0.0,8.0,0.0,40.0,30.0,3.0,0.0,1.0,S4,2,OAK,False,OAK,4.238475464506908,34.333333333333336,75.0,26.200748661093797,5.0,8.0,2.0,0.0,2.0,6.0,2.0,1.0,0.25,0.649675642142492
5.0,20.666666666666668,88.0,21.0,12.0,12.0,6.0,0.0,0.0,13.0,8.0,6.0,16.0,17.0,13.0,2.0,0.0,3.4838709677419355,1.3064516129032258,6.096774193548387,2.32258064516129,1.7419354838709675,3.774193548387097,2.1666666666666665,0.25925925925925924,0.3068181818181818,0.6666666666666666,0.9734848484848484,0.21311475409836064,0.09090909090909091,0.14772727272727273,0.06818181818181818,0.6938775510204082,0.30612244897959184,2.2666666666666666,244.7816091954023,-0.14523711147456497,0.809052,81.0,1.0,0.0,5.0,2.0,34.0,15.0,0.0,0.0,,S4,3,2TM,False,KCR,5.9436367548294875,20.666666666666668,129.0,9.176976869284562,4.0,2.0,1.0,1.0,3.0,1.0,1.0,0.0,0.75,0.32621142641726136
1.0,3.0,15.0,5.0,5.0,5.0,1.0,0.0,0.0,1.0,4.0,0.0,3.0,3.0,2.0,0.0,0.0,10.0,2.0,10.0,8.0,2.0,2.0,1.0,0.35714285714285715,0.4,1.3571428571428572,1.7571428571428571,0.1111111111111111,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.75,0.25,3.0,207.8,3.2810368349249663,-0.3093,14.0,0.0,0.0,0.0,1.0,6.0,2.0,0.0,0.0,,S4,3,ARI,True,ARI,18.965142131173575,3.0,34.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.2749750956624163
4.0,17.666666666666668,73.0,16.0,7.0,7.0,5.0,0.0,0.0,12.0,4.0,6.0,13.0,14.0,11.0,2.0,0.0,2.3773584905660377,1.1886792452830188,5.433962264150943,1.3584905660377358,1.6981132075471699,4.0754716981132075,2.4,0.23880597014925373,0.2876712328767123,0.5223880597014925,0.8100592925782049,0.23076923076923078,0.0547945205479452,0.1643835616438356,0.0684931506849315,0.6829268292682927,0.3170731707317073,2.1538461538461537,252.48611111111111,-3.4262739463995304,1.1183520000000002,67.0,1.0,0.0,5.0,1.0,28.0,13.0,0.0,0.0,,S4,3,KCR,True,KCR,3.732437728657851,17.666666666666668,242.0,4.1769768692845615,3.0,2.0,1.0,1.0,3.0,0.0,1.0,0.0,1.0,0.6011865220796775
10.0,14.666666666666666,62.0,15.0,12.0,12.0,4.0,0.0,0.0,17.0,5.0,6.0,7.0,5.0,12.0,2.0,0.0,4.909090909090909,1.2954545454545454,6.136363636363637,2.045454545454546,1.6363636363636367,6.954545454545455,4.25,0.25862068965517243,0.3064516129032258,0.603448275862069,0.9098998887652947,0.2777777777777778,0.08064516129032258,0.27419354838709675,0.06451612903225806,0.46153846153846156,0.5384615384615384,0.8571428571428571,253.0483870967742,2.7388046544212625,0.2560610000000001,58.0,0.0,0.0,3.0,1.0,12.0,14.0,0.0,1.0,0.0,S4,4,BAL,False,BAL,4.23029364632509,15.666666666666666,72.0,12.376158940397351,1.0,8.0,0.0,0.0,1.0,1.0,3.0,0.0,0.5,-0.05428230241112737
6.0,25.333333333333332,109.0,26.0,12.0,12.0,9.0,1.0,1.0,9.0,4.0,13.0,10.0,8.0,23.0,24.0,0.0,2.8421052631578947,1.381578947368421,6.157894736842106,0.9473684210526316,2.1315789473684212,2.1315789473684212,1.0,0.26262626262626265,0.3211009174311927,0.47474747474747475,0.7958483921786674,0.25287356321839083,0.03669724770642202,0.08256880733944955,0.08256880733944955,0.29850746268656714,0.7014925373134329,0.425531914893617,236.48598130841123,-2.7122899415167554,0.44919999999999977,99.0,1.0,0.0,9.0,0.0,20.0,47.0,0.0,0.0,,S4,5,ARI,False,ARI,3.706370201349013,25.0,111.0,12.840588352216258,5.0,4.0,3.0,0.0,1.0,4.0,0.0,0.0,0.2,0.6572967323835929
3.0,8.0,37.0,8.0,2.0,2.0,6.0,0.0,2.0,10.0,1.0,5.0,2.0,3.0,7.0,1.0,0.0,1.5,1.75,6.0,0.75,4.5,7.5,1.6666666666666667,0.25806451612903225,0.3783783783783784,0.45161290322580644,0.8299912816041848,0.35,0.02702702702702703,0.2702702702702703,0.16216216216216217,0.42857142857142855,0.5714285714285714,0.75,228.16666666666666,-1.3605885765732972,0.10720000000000002,31.0,0.0,0.0,1.0,1.0,6.0,8.0,1.0,0.0,1.0,S4,19,2TM,False,CLE,2.673475464506908,8.666666666666666,125.0,3.9732777879363663,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26710937430486126
2.0,6.0,29.0,7.0,2.0,2.0,5.0,0.0,2.0,9.0,1.0,4.0,0.0,2.0,5.0,1.0,0.0,2.0,2.0,7.0,1.0,5.0,9.0,1.8,0.2916666666666667,0.41379310344827586,0.5416666666666666,0.9554597701149425,0.42857142857142855,0.034482758620689655,0.3103448275862069,0.1724137931034483,0.3333333333333333,0.6666666666666666,0.5,215.64285714285714,-0.4137952043027304,0.033500000000000016,24.0,0.0,0.0,1.0,1.0,3.0,6.0,1.0,0.0,1.0,S4,19,MIL,True,MIL,2.9651421311735744,6.0,95.0,3.5971188475390155,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1440947902350951
1.0,2.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,3.0,1.0,0.14285714285714285,0.25,0.14285714285714285,0.39285714285714285,0.16666666666666666,0.0,0.125,0.125,0.6,0.4,1.5,272.0,-0.9467933722705666,0.0737,7.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,,S4,19,CLE,True,CLE,1.7984754645069079,2.6666666666666665,406.0,0.376158940397351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1230145840697662
10.0,25.0,113.0,31.0,16.0,16.0,11.0,1.0,0.0,19.0,4.0,13.0,10.0,9.0,26.0,7.0,0.0,3.84,1.68,7.4399999999999995,0.96,2.64,4.5600000000000005,1.7272727272727273,0.31,0.37168141592920356,0.61,0.9816814159292035,0.34177215189873417,0.035398230088495575,0.168141592920354,0.09734513274336283,0.4107142857142857,0.5892857142857143,0.696969696969697,231.67857142857142,2.7156551337819788,-0.2982889999999999,100.0,2.0,0.0,10.0,4.0,23.0,33.0,1.0,0.0,1.0,S4,20,3TM,False,LAD,3.1784754645069078,25.0,72.0,19.77915692986371,5.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,0.75,0.12866984827507424
