G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,Avg Diff,nOBP,nSLG,RE24,WPA,GB_outs,FB_outs,Type,nPA,nAB,nH,nTB,nBB,nSF,nSH,Season,Hitter ID,is_sub_row,Team,Last Team,Last Session,WAR
3,10,7,2,1,2,0,0,0,2,1,3,0,0,0,0,0,0,0,2,3,1,1,0,0,0.2857142857142857,0.5,0.2857142857142857,0.7857142857142857,0.0,0.2857142857142857,,0.0,0.0,0.3,0.8571428571428571,0.14285714285714285,6.0,251.2,0.5,0.2857142857142857,-1.503329593945995,-0.22250000000000003,6,1,TT,10,7,2,2,3,0,0,S12,1.0,False,STL,STL,3,-0.10929648252627208
2,4,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0.0,0.25,0.0,0.25,0.0,0.0,,0.0,0.25,0.25,0.5,0.5,1.0,341.25,0.25,0.0,-0.6281747764187735,-0.001499999999999991,1,1,BC,4,3,0,0,1,0,0,S12,10.0,False,TBR,TBR,3,-0.04640288689454639
2,4,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0.0,0.25,0.0,0.25,0.0,0.0,,0.0,0.25,0.25,0.0,1.0,0.0,223.75,0.25,0.0,-0.4786183610941517,-0.0155,0,2,TT,4,3,0,0,1,0,0,S12,14.0,False,OAK,OAK,3,-0.03144724536208421
3,6,6,1,0,0,1,0,0,2,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.3333333333333333,,0.0,0.5,0.0,1.0,0.0,,309.6666666666667,0.16666666666666666,0.3333333333333333,-1.0588129555185148,0.01999999999999999,2,0,WC,6,6,1,2,0,0,0,S12,20.0,False,PHI,PHI,3,-0.08125940943085504
3,9,8,4,3,1,1,0,2,11,3,1,0,1,0,2,0,0,0,0,1,1,1,0,0,0.5,0.5555555555555556,1.375,1.9305555555555556,0.875,0.4,1.0,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.6666666666666666,0.3333333333333333,2.0,174.1818181818182,0.5555555555555556,1.375,2.8373422317025727,0.3388,2,1,EN,9,8,4,11,1,0,0,S12,32.0,False,BAL,BAL,3,0.32066705235175197
3,11,7,1,1,0,1,0,0,2,0,4,0,0,0,0,0,0,0,1,0,3,2,1,0,0.14285714285714285,0.45454545454545453,0.2857142857142857,0.7402597402597402,0.14285714285714285,0.14285714285714285,,0.0,0.0,0.36363636363636365,0.5714285714285714,0.42857142857142855,1.3333333333333333,264.0,0.45454545454545453,0.2857142857142857,0.1204359274118185,0.07600000000000003,4,3,WC,11,7,1,2,4,0,0,S12,34.0,False,BOS,BOS,3,0.057183717296341995
2,4,4,1,0,0,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0.25,0.25,0.5,0.75,0.25,0.3333333333333333,,0.0,0.25,0.0,0.0,1.0,0.0,195.0,0.25,0.5,0.38851784995312055,0.29850000000000004,0,2,BC,4,4,1,2,0,0,0,S12,48.0,False,SFG,SFG,3,0.055266375742643016
3,8,7,4,2,2,0,2,0,8,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0.5714285714285714,0.625,1.1428571428571428,1.7678571428571428,0.5714285714285714,0.5714285714285714,,0.0,0.0,0.125,0.6666666666666666,0.3333333333333333,2.0,191.375,0.625,1.1428571428571428,1.7408205140050885,0.19240000000000002,2,1,XB,8,7,4,8,1,0,0,S12,54.0,False,SFG,SFG,3,0.20691123289517077
1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,346.5,0.0,0.0,-0.40035670182051314,-0.07899999999999999,0,2,BN,2,2,0,0,0,0,0,S12,55.0,False,CIN,CIN,3,-0.03182837480838584
2,5,5,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0.2,0.2,0.2,0.4,0.0,0.25,,0.0,0.2,0.0,0.3333333333333333,0.6666666666666666,0.5,299.0,0.2,0.2,-0.4834711982863762,-0.024200000000000003,1,2,BC,5,5,1,1,0,0,0,S12,65.0,False,PHI,PHI,2,-0.027828881394473915
