G,IP,BF,H,R,ER,BB,IBB,Auto BB,K,HR,1B,RGO,LGO,FO,PO,LO,ERA,WHIP,H/6,HR/6,BB/6,K/6,K/BB,BAA,OBPA,SLGA,OPSA,BABIP_A,HR%_A,K%_A,BB%_A,GB%_A,FB%_A,GB/FB_A,Avg Diff,RE24,WPA,AB_A,SF_A,SH_A,2B_A,3B_A,GB_outs_A,FB_outs_A,SB_A,CS_A,SB%_A,Season,Pitcher ID,Team,is_sub_row,Last Team,FIP,nIP,ERA+,nRuns,GS,GF,CG,SHO,W,L,SV,HLD,W-L%,WAR
3.0,5.0,22.0,7.0,4.0,4.0,1.0,0.0,1.0,5.0,1.0,6.0,0.0,4.0,3.0,1.0,0.0,4.8,1.6,8.399999999999999,1.2000000000000002,1.2000000000000002,6.0,5.0,0.3333333333333333,0.36363636363636365,0.47619047619047616,0.8398268398268398,0.4,0.045454545454545456,0.22727272727272727,0.045454545454545456,0.5,0.5,1.0,257.8421052631579,1.370851998465012,0.11910000000000004,21.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,0.0,S2,-41,LAD,False,LAD,2.884551341350601,5.0,73.0,4.093952382351558,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,-0.04740233389436497
1.0,2.3333333333333335,10.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,1.7142857142857142,10.285714285714285,0.0,0.0,5.142857142857142,,0.4,0.4,0.4,0.8,0.5,0.0,0.2,0.0,1.0,0.0,,262.6666666666667,-1.7388982728816278,0.3611,10.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,,S2,-40,SEA,False,SEA,-0.029734372935113162,3.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21465476635731565
1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,,,,102.0,-0.43452242350859216,-0.16570000000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,S2,-39,SEA,False,SEA,,0.6666666666666666,31.0,1.2923076923076924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0475287362577745
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,1.0,,,,0.0,0.0,1.0,,,,,0.2991607624503845,-0.036699999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,S2,-38,PHI,False,PHI,inf,0.0,inf,0.9477977161500816,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02583958233812316
2.0,2.3333333333333335,12.0,5.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,3.0,1.0,0.0,5.142857142857142,2.571428571428571,12.857142857142858,5.142857142857142,2.571428571428571,2.571428571428571,1.0,0.45454545454545453,0.5,1.0,1.5,0.375,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.2,0.8,0.25,203.3846153846154,0.5314198827504988,-0.0119,11.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,S2,-37,CLE,False,CLE,13.255979912779171,2.6666666666666665,66.0,2.431643625192012,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004224061392066475
5.0,27.0,122.0,39.0,21.0,21.0,6.0,0.0,0.0,29.0,6.0,25.0,8.0,5.0,26.0,5.0,0.0,4.666666666666667,1.6666666666666667,8.666666666666666,1.3333333333333333,1.3333333333333333,6.444444444444445,4.833333333333333,0.33620689655172414,0.36885245901639346,0.5603448275862069,0.9291972866026004,0.4074074074074074,0.04918032786885246,0.23770491803278687,0.04918032786885246,0.3541666666666667,0.6458333333333334,0.5483870967741935,237.08333333333334,2.4505485192764795,-0.9947000000000001,116.0,0.0,0.0,8.0,0.0,17.0,31.0,1.0,0.0,1.0,S2,-36,BAL,False,BAL,3.0919587487580085,27.666666666666668,90.0,18.53333333333333,3.0,4.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.2522774047160166
7.0,24.0,104.0,32.0,12.0,12.0,3.0,0.0,0.0,20.0,6.0,19.0,6.0,6.0,26.0,5.0,0.0,3.0,1.4583333333333333,8.0,1.5,0.75,5.0,6.666666666666667,0.32,0.33653846153846156,0.58,0.9165384615384615,0.3466666666666667,0.057692307692307696,0.19230769230769232,0.028846153846153848,0.3404255319148936,0.6595744680851063,0.5161290322580645,249.23300970873785,-3.0655981926646207,0.26990000000000014,100.0,1.0,0.0,6.0,1.0,16.0,31.0,1.0,0.0,1.0,S2,-35,MTL,False,MTL,3.642884674683934,26.0,107.0,14.58160532352938,3.0,5.0,1.0,0.0,2.0,2.0,0.0,0.0,0.5,0.7305151855856515
1.0,4.333333333333333,21.0,6.0,4.0,4.0,2.0,0.0,0.0,4.0,3.0,2.0,3.0,1.0,5.0,0.0,0.0,5.538461538461539,1.8461538461538463,8.307692307692308,4.153846153846154,2.769230769230769,5.538461538461538,2.0,0.3157894736842105,0.38095238095238093,0.8421052631578947,1.2230576441102756,0.25,0.14285714285714285,0.19047619047619047,0.09523809523809523,0.4444444444444444,0.5555555555555556,0.8,231.66666666666666,1.156450267997865,0.02099999999999999,19.0,0.0,0.0,1.0,0.0,4.0,5.0,0.0,0.0,,S2,-34,HOU,False,HOU,10.223012879812138,4.333333333333333,59.0,4.399635036496351,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.03003865475456554
2.0,9.0,33.0,6.0,3.0,3.0,1.0,0.0,0.0,8.0,2.0,4.0,2.0,6.0,7.0,1.0,0.0,2.0,0.7777777777777778,4.0,1.3333333333333333,0.6666666666666666,5.333333333333333,8.0,0.1875,0.21212121212121213,0.375,0.5871212121212122,0.18181818181818182,0.06060606060606061,0.24242424242424243,0.030303030303030304,0.5294117647058824,0.47058823529411764,1.125,268.5151515151515,-3.548646191395329,0.5014000000000001,32.0,0.0,0.0,0.0,0.0,9.0,8.0,0.0,0.0,,S2,-33,WSH,False,WSH,3.1289957857950457,9.0,135.0,4.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4893889180677373
3.0,11.0,52.0,18.0,8.0,8.0,3.0,0.0,0.0,5.0,3.0,13.0,7.0,9.0,7.0,1.0,0.0,4.363636363636363,1.9090909090909092,9.818181818181818,1.6363636363636362,1.6363636363636362,2.727272727272727,1.6666666666666667,0.3673469387755102,0.40384615384615385,0.6122448979591837,1.0160910518053377,0.36585365853658536,0.057692307692307696,0.09615384615384616,0.057692307692307696,0.6923076923076923,0.3076923076923077,2.25,237.05769230769232,2.3158960021284543,-0.30920000000000014,49.0,0.0,0.0,1.0,1.0,18.0,8.0,1.0,0.0,1.0,S2,-32,2TM,False,LAD,5.139096795896055,11.333333333333334,67.0,10.165413533834586,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,-0.01961191705325067
1.0,4.333333333333333,25.0,11.0,6.0,6.0,2.0,0.0,0.0,0.0,2.0,9.0,3.0,5.0,3.0,0.0,0.0,8.307692307692308,3.0,15.230769230769234,2.769230769230769,2.769230769230769,0.0,0.0,0.4782608695652174,0.52,0.7391304347826086,1.2591304347826087,0.42857142857142855,0.08,0.0,0.08,0.75,0.25,3.0,210.92307692307693,4.922228765336101,-0.396,23.0,0.0,0.0,0.0,0.0,9.0,3.0,1.0,0.0,1.0,S2,-32,PIT,True,PIT,9.069166725965985,4.333333333333333,36.0,7.165413533834586,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.390310528860728
