G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,Avg Diff,nOBP,nSLG,RE24,WPA,GB_outs,FB_outs,Season,Hitter ID,Team,is_sub_row,Last Team,WAR
2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,269.6666666666667,0.0,0.0,-0.8725833233995042,-0.040799999999999996,0.0,2.0,S5,1,2TM,False,TBR,-0.0758562465925576
1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,239.0,0.0,0.0,-0.44521845853463937,-0.0326,0.0,2.0,S5,1,SEA,True,SEA,-0.03692045535520207
1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,,,,331.0,0.0,0.0,-0.4273648648648648,-0.008199999999999999,0.0,0.0,S5,1,TBR,True,TBR,-0.03893579123735554
9.0,26.0,22.0,5.0,2.0,2.0,1.0,1.0,1.0,11.0,4.0,3.0,0.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,6.0,0.0,0.0,0.22727272727272727,0.3076923076923077,0.5,0.8076923076923077,0.2727272727272727,0.3333333333333333,0.0,0.038461538461538464,0.38461538461538464,0.11538461538461539,0.2222222222222222,0.7777777777777778,0.2857142857142857,232.77777777777777,0.3076923076923077,0.5,-3.7264628184925974,0.26989999999999986,2.0,7.0,S5,2,COL,False,COL,-0.27382820537185537
2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,,0.0,0.0,0.5,0.0,1.0,0.0,249.0,0.5,0.0,-0.4493982026032127,-0.0443,0.0,1.0,S5,3,KCR,False,KCR,-0.0373384297620594
3.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,,370.4,0.0,0.0,-1.6570795117891741,-0.2046,5.0,0.0,S5,4,2TM,False,TBR,-0.14670447493326272
1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,,415.0,0.0,0.0,-0.3723989859796162,-0.0885,1.0,0.0,S5,4,ARI,True,ARI,-0.03343920334883068
2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,,359.25,0.0,0.0,-1.284680525809558,-0.11610000000000001,4.0,0.0,S5,4,TBR,True,TBR,-0.11326527158443205
10.0,24.0,21.0,6.0,5.0,2.0,1.0,1.0,2.0,15.0,7.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6.0,1.0,0.0,0.2857142857142857,0.3333333333333333,0.7142857142857143,1.0476190476190477,0.4285714285714286,0.3076923076923077,,0.08333333333333333,0.2916666666666667,0.08333333333333333,0.2,0.8,0.25,220.54166666666666,0.3333333333333333,0.7142857142857143,1.031977128020209,0.4509000000000001,2.0,8.0,S5,6,ATL,False,ATL,0.19441439878116343
3.0,8.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,0.0,0.125,0.125,0.25,0.375,0.125,0.125,,0.0,0.0,0.0,0.7142857142857143,0.2857142857142857,2.5,336.125,0.125,0.25,-1.7583242881037755,-0.2345,5.0,2.0,S5,10,BAL,False,BAL,-0.14542686681733005
