G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,Avg Diff,nOBP,nSLG,RE24,WPA,GB_outs,FB_outs,Type,nPA,nAB,nH,nTB,nBB,nSF,nSH,Season,Hitter ID,is_sub_row,Team,Last Team,WAR
7,20,18,3,4,0,0,1,2,11,5,2,0,0,0,0,0,0,0,1,0,3,4,8,0,0.16666666666666666,0.25,0.6111111111111112,0.8611111111111112,0.44444444444444453,0.0625,,0.1,0.0,0.1,0.25,0.75,0.3333333333333333,292.2,0.25,0.6111111111111112,1.0565203837843335,0.2312999999999999,4,12,S,20,18,3,11,2,0,0,S7,2,False,RRR,RRR,0.1785988215396724
7,18,16,5,2,1,2,0,2,13,7,2,0,2,1,0,0,0,0,0,3,2,4,0,0,0.3125,0.3888888888888889,0.8125,1.2013888888888888,0.5,0.25,,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.5555555555555556,0.4444444444444444,1.25,224.64705882352942,0.3333333333333333,0.8235294117647058,3.0105073825864626,0.495,5,4,1B,18,17,5,14,1,0,0,S7,10,False,SSC,SSC,0.36670284310376144
5,13,12,2,1,1,1,0,0,3,2,1,0,3,0,0,0,0,0,0,2,3,2,0,0,0.16666666666666666,0.23076923076923078,0.25,0.4807692307692308,0.08333333333333334,0.2222222222222222,,0.0,0.23076923076923078,0.07692307692307693,0.7142857142857143,0.2857142857142857,2.5,296.0,0.23076923076923078,0.25,-1.106158574028286,-0.020399999999999988,5,2,BC,13,12,2,3,1,0,0,S7,17,False,RRR,RRR,-0.06320044834802321
2,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.25,0.0,0.3333333333333333,0.6666666666666666,0.5,282.0,0.0,0.0,-1.572936427270942,-0.15309999999999996,1,2,TT,4,4,0,0,0,0,0,S7,20,False,BBB,BBB,-0.1427042860948464
3,9,7,2,2,0,0,0,2,8,2,2,0,1,0,0,0,0,0,0,2,1,0,1,0,0.2857142857142857,0.4444444444444444,1.1428571428571428,1.5873015873015872,0.8571428571428571,0.0,,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.75,0.25,3.0,227.77777777777777,0.3333333333333333,1.0,1.098223067793766,0.18810000000000002,3,1,XB,9,8,2,8,1,0,0,S7,22,False,BBC,BBC,0.1426483592019342
5,15,15,1,0,1,0,0,0,1,0,0,0,4,0,0,0,0,0,0,4,4,0,2,0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.0,0.09090909090909091,,0.0,0.26666666666666666,0.0,0.8,0.2,4.0,373.6,0.06666666666666667,0.06666666666666667,-3.515799651940589,-0.3511000000000001,8,2,S,15,15,1,1,0,0,0,S7,28,False,BBC,BBC,-0.2968698778231296
10,28,26,5,1,2,2,0,1,10,3,2,0,10,0,2,0,0,0,0,3,4,3,1,0,0.19230769230769232,0.25,0.38461538461538464,0.6346153846153846,0.19230769230769232,0.26666666666666666,1.0,0.03571428571428571,0.35714285714285715,0.07142857142857142,0.6363636363636364,0.36363636363636365,1.75,271.86206896551727,0.25,0.36,-0.8219426799847389,0.1045,7,4,TT,28,25,4,9,3,0,0,S7,32,False,2TM,BBB,0.019931228427260805
10,26,24,4,0,2,2,0,0,6,1,2,0,9,0,2,0,0,0,0,3,4,3,1,0,0.16666666666666666,0.23076923076923078,0.25,0.4807692307692308,0.08333333333333334,0.26666666666666666,1.0,0.0,0.34615384615384615,0.07692307692307693,0.6363636363636364,0.36363636363636365,1.75,282.4074074074074,0.23076923076923078,0.21739130434782608,-1.4544605867429292,-0.1122,7,4,TT,26,23,3,5,3,0,0,S7,32,True,BBB,BBB,-0.05061524056468214
2,2,2,1,1,0,0,0,1,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,2.0,2.5,1.5,,,0.5,0.5,0.0,,,,129.5,0.5,2.0,0.6325179067581901,0.21669999999999998,0,0,TT,2,2,1,4,0,0,0,S7,32,True,FAP,FAP,0.07054646899194292
6,17,15,4,1,3,1,0,0,5,1,2,0,0,0,0,0,0,0,1,3,2,3,3,0,0.26666666666666666,0.35294117647058826,0.3333333333333333,0.6862745098039216,0.06666666666666665,0.26666666666666666,,0.0,0.0,0.11764705882352941,0.5,0.5,1.0,272.3529411764706,0.35294117647058826,0.375,-0.6231882229034968,-0.13180000000000003,6,6,BC,17,16,5,6,1,0,0,S7,33,False,PBA,PBA,-0.00031405660329647533
