G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,Avg Diff,nOBP,nSLG,RE24,WPA,GB_outs,FB_outs,Season,Hitter ID,Team,is_sub_row,Last Team,WAR
14.0,38.0,36.0,10.0,6.0,6.0,1.0,0.0,3.0,20.0,7.0,2.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,6.0,4.0,10.0,2.0,0.0,0.2777777777777778,0.3157894736842105,0.5555555555555556,0.8713450292397661,0.2777777777777778,0.2413793103448276,1.0,0.07894736842105263,0.10526315789473684,0.05263157894736842,0.5,0.5,1.0,233.89743589743588,0.3157894736842105,0.5555555555555556,-1.5674089626802883,-0.26089999999999997,12.0,12.0,S9,10,ANA,False,ANA,-0.010614377103179962
16.0,46.0,42.0,13.0,8.0,7.0,1.0,1.0,4.0,28.0,11.0,4.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,8.0,2.0,0.0,0.30952380952380953,0.3695652173913043,0.6666666666666666,1.036231884057971,0.3571428571428571,0.375,0.0,0.08695652173913043,0.30434782608695654,0.08695652173913043,0.3333333333333333,0.6666666666666666,0.5,238.3913043478261,0.3695652173913043,0.6666666666666666,0.6815710555184853,-0.13980000000000004,5.0,10.0,S9,14,ARI,False,ARI,0.24504710243561295
9.0,22.0,21.0,5.0,2.0,3.0,0.0,1.0,1.0,10.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,3.0,0.0,0.23809523809523808,0.2727272727272727,0.47619047619047616,0.7489177489177489,0.23809523809523808,0.23529411764705882,0.0,0.045454545454545456,0.13636363636363635,0.045454545454545456,0.46153846153846156,0.5384615384615384,0.8571428571428571,266.6363636363636,0.2727272727272727,0.47619047619047616,-1.7265032070926951,-0.053299999999999986,6.0,7.0,S9,18,BOS,False,BOS,-0.08805075698225176
10.0,25.0,23.0,5.0,4.0,2.0,1.0,0.0,2.0,12.0,4.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,6.0,1.0,0.0,0.21739130434782608,0.28,0.5217391304347826,0.8017391304347826,0.30434782608695654,0.17647058823529413,0.0,0.08,0.16,0.08,0.5,0.5,1.0,264.4,0.28,0.5217391304347826,-2.0079855552923394,-0.03479999999999998,7.0,7.0,S9,20,PHI,False,PHI,-0.10466268765762284
10.0,23.0,21.0,3.0,2.0,1.0,1.0,0.0,1.0,7.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,9.0,1.0,0.0,0.14285714285714285,0.17391304347826086,0.3333333333333333,0.5072463768115942,0.19047619047619047,0.11764705882352941,0.0,0.043478260869565216,0.17391304347826086,0.043478260869565216,0.3125,0.6875,0.45454545454545453,274.95652173913044,0.17391304347826086,0.3333333333333333,-4.526861754354806,-0.4738999999999999,5.0,11.0,S9,22,SFG,False,SFG,-0.3642411769935984
3.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.25,0.25,1.0,1.25,0.75,0.0,0.0,0.25,0.25,0.0,0.5,0.5,1.0,243.75,0.25,1.0,-0.5453042629440215,-0.0015,1.0,1.0,S9,32,BAL,False,BAL,-0.039148687434944374
16.0,55.0,43.0,11.0,9.0,4.0,2.0,1.0,4.0,27.0,13.0,11.0,0.0,6.0,0.0,4.0,0.0,0.0,1.0,1.0,4.0,7.0,8.0,8.0,0.0,0.2558139534883721,0.4,0.627906976744186,1.0279069767441862,0.37209302325581395,0.20588235294117646,1.0,0.07272727272727272,0.10909090909090909,0.2,0.41379310344827586,0.5862068965517241,0.7058823529411765,242.66101694915255,0.4,0.627906976744186,1.7444773360503607,0.11659999999999991,12.0,17.0,S9,34,BOS,False,BOS,0.38594664292258046
6.0,15.0,14.0,4.0,3.0,2.0,0.0,0.0,2.0,10.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,0.0,0.2857142857142857,0.3333333333333333,0.7142857142857143,1.0476190476190477,0.4285714285714286,0.2,0.0,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.25,0.75,0.3333333333333333,206.35714285714286,0.3333333333333333,0.7142857142857143,-0.1991974963336089,-0.07989999999999998,2.0,6.0,S9,41,CIN,False,CIN,0.03776177108960576
14.0,39.0,36.0,16.0,8.0,13.0,1.0,1.0,1.0,22.0,3.0,2.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,3.0,6.0,3.0,0.0,0.4444444444444444,0.46153846153846156,0.6111111111111112,1.0726495726495728,0.16666666666666674,0.4838709677419355,1.0,0.02564102564102564,0.1282051282051282,0.05128205128205128,0.4444444444444444,0.5555555555555556,0.8,221.55,0.46153846153846156,0.6111111111111112,6.447491233136743,0.3716999999999999,8.0,10.0,S9,48,SFG,False,SFG,0.7947210771933876
15.0,46.0,44.0,14.0,11.0,3.0,3.0,1.0,7.0,40.0,14.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,5.0,8.0,4.0,0.0,0.3181818181818182,0.34782608695652173,0.9090909090909091,1.2569169960474307,0.5909090909090908,0.23333333333333334,0.0,0.15217391304347827,0.15217391304347827,0.043478260869565216,0.52,0.48,1.0833333333333333,238.80434782608697,0.34782608695652173,0.9090909090909091,0.945307432029305,0.7053999999999998,13.0,12.0,S9,55,CIN,False,CIN,0.2714207400866949
12.0,30.0,26.0,6.0,4.0,2.0,3.0,0.0,1.0,12.0,8.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,5.0,1.0,0.23076923076923078,0.3,0.46153846153846156,0.7615384615384615,0.23076923076923078,0.2777777777777778,0.0,0.03333333333333333,0.26666666666666666,0.1,0.21428571428571427,0.7857142857142857,0.2727272727272727,276.96666666666664,0.3,0.46153846153846156,-2.0627266319018784,-0.35950000000000004,3.0,11.0,S9,59,CWS,False,CWS,-0.09090962174425454
