ID,Season,Display Season,Team,Franchise,HR,3B,2B,1B,BB,IBB,Auto BB,FO,SO,PO,RGO,LGO,LO,SF,SH,GO,DP,TP,SB,CS,H,IP,BF,AB,TB,G_list,G,ER,Total Diff,Total Plays,RE24,WAR,WPA,0 Diffs,500 Diffs,300+ Pitches,400+ Pitches,Last Team,Last Session,W,L,SV,HLD,BS,GS,GF,CG,SHO,OPP,nER,nIP,FIP Constant,lgnER,lgnIP,lgnERA,ERA,WHIP,FIP,H6,HR6,BB6,SO6,SO/BB,BA,OBP,SLG,OPS,BABIP,SB%,HR%,K%,BB%,GB%,FB%,GB/FB,W-L%,SV%,nERA,Avg Diff,Name,Batting Type,Pitching Type,Handedness,Position,Pitching Type (Main),ERA-
3,4,S4,LAD,LAD,1,0,1,1,2,0,0,0,1,0,1,1,0,0,0,2,1,0,0,0,3,1.3333333333333333,8,6,7,{4011},1,3,1581.0,8,1.0769230769230769,-0.0820842674913026,-0.1036,0,0,2,1,KCR,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.28,1.6666666666666667,2.267002518891688,120.36714616583038,131.0,5.512999061030399,13.5,3.75,15.017002518891688,13.5,4.5,9.0,4.5,0.5,0.5,0.625,0.875,1.5,0.5,,0.125,0.125,0.25,1.0,0.0,inf,,,8.208,197.625,Syd Kidd,BN,EG-B,Left,P,EG,148.88448028260495
3,4,S4,SEA,SEA,0,1,1,1,2,0,0,0,2,1,4,1,0,0,0,5,0,0,1,1,3,3.0,13,11,6,{4008},1,3,3620.0,15,0.631578947368421,-0.0151428193599577,-0.1258999999999999,0,0,6,2,KCR,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.267002518891688,120.36714616583038,131.0,5.512999061030399,6.0,1.6666666666666667,2.9336691855583545,6.0,0.0,4.0,4.0,1.0,0.2727272727272727,0.3846153846153846,0.4615384615384615,0.8461538461538463,0.3333333333333333,0.5,0.0,0.1538461538461538,0.1538461538461538,0.8333333333333334,0.0,inf,,,4.0,241.3333333333333,Syd Kidd,BN,EG-B,Left,P,EG,72.55578961140591
3,5,S5,OAK,OAK,0,0,3,2,1,0,0,1,1,0,1,2,0,0,0,3,0,0,0,0,5,1.6666666666666667,11,10,8,{5009},1,4,2250.0,11,4.679197994987469,-0.4205192016499582,-0.1142,0,0,3,2,KCR,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.333333333333333,1.6666666666666667,1.7421875,84.49051983838244,128.66666666666666,3.939972427696591,14.4,3.6,2.3421875,18.0,0.0,3.6,3.6,1.0,0.5,0.5454545454545454,0.7272727272727273,1.2727272727272727,0.5555555555555556,,0.0,0.0909090909090909,0.0909090909090909,0.75,0.25,3.0,,,15.599999999999998,204.54545454545453,Syd Kidd,BN,EG-B,Left,P,EG,395.9418571139636
3,7,S7,TEX,TEX,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,3,0,0,0,0,0,1.6666666666666667,5,5,0,{7004},1,0,1728.0,5,-1.6934306569343067,0.1885446416244804,0.4302999999999999,0,0,4,1,KCR,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.6666666666666667,1.866498740554156,100.98740211873977,132.66666666666666,4.56726944255607,0.0,0.0,1.866498740554156,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.6,0.0,inf,,1.0,0.0,345.6,Syd Kidd,P,EG-B,Left,P,EG,0.0
3,8,S8,DET,DET,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1.0,4,4,3,{8008},1,0,857.0,4,-0.8214285714285714,0.0919994222704356,0.0484,0,0,0,0,KCR,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.13953488372093,102.4549650718254,129.0,4.765347212643043,0.0,1.0,-1.86046511627907,6.0,0.0,0.0,12.0,inf,0.25,0.25,0.75,1.0,0.5,,0.0,0.5,0.0,0.0,1.0,0.0,,1.0,0.0,214.25,Syd Kidd,P,EG-B,Left,P,EG,0.0
3,8,S8,HOU,HOU,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,1,1,0,{8003},1,0,255.0,1,-0.4666666666666667,0.0491308079485612,0.0224,0,0,0,0,KCR,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.3333333333333333,2.13953488372093,102.4549650718254,129.0,4.765347212643043,0.0,0.0,-3.86046511627907,0.0,0.0,0.0,18.0,inf,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,,,,,1.0,0.0,255.0,Syd Kidd,P,EG-B,Left,P,EG,0.0
4,4,S4,CLE,ANA,0,0,1,0,1,0,0,1,0,1,2,0,0,0,0,2,0,0,0,0,1,1.3333333333333333,6,5,2,{4003},1,0,1569.0,6,-1.5894736842105264,0.1781533985718064,0.2011,0,0,3,2,BAL,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3333333333333333,2.267002518891688,120.36714616583038,131.0,5.512999061030399,0.0,1.5,4.5170025188916885,4.5,0.0,4.5,0.0,0.0,0.2,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.2,,0.0,0.0,0.1666666666666666,0.5,0.25,2.0,1.0,,0.0,261.5,Chip Otle,MH,BS-H,Left,P,BS,0.0
5,6,S6,CWS,CWS,0,0,0,2,0,0,0,3,0,4,0,2,0,0,0,2,0,0,1,0,2,3.0,11,11,2,{6007},1,0,3246.0,12,-3.583333333333333,0.4101140019890019,0.0305999999999999,0,0,6,3,BAL,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.7744360902255636,96.46548702415576,132.0,4.384794864734352,0.0,0.6666666666666666,0.7744360902255636,4.0,0.0,0.0,0.0,,0.1818181818181818,0.1818181818181818,0.1818181818181818,0.3636363636363636,0.1818181818181818,1.0,0.0,0.0,0.0,0.2222222222222222,0.3333333333333333,0.6666666666666666,,,0.0,270.5,Y.E. Wally,P,WC-H,Right,P,WC,0.0
5,9,S9,MIN,MIN,0,0,1,1,0,0,0,2,0,2,0,1,0,0,0,1,0,0,0,0,2,1.6666666666666667,7,7,3,{9008},1,0,1656.0,7,0.138095238095238,0.0163123503339765,-0.0554999999999999,0,0,2,1,TEX,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.8267716535433074,67.7720733100039,127.0,3.201830235118295,0.0,1.2,0.8267716535433074,7.199999999999999,0.0,0.0,0.0,,0.2857142857142857,0.2857142857142857,0.4285714285714285,0.7142857142857142,0.2857142857142857,,0.0,0.0,0.0,0.2,0.4,0.5,,,0.0,236.57142857142856,Y.E. Wally,P,WC-H,Right,P,WC,0.0
10,7,S7,TOR,TOR,2,0,1,1,3,0,0,4,1,2,0,3,0,1,0,3,0,0,0,0,4,3.333333333333333,17,13,11,{7008},1,4,3918.0,17,1.566483557829784,-0.0913629976174091,-0.1344,0,0,6,4,TBR,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.34020618556701,3.333333333333333,1.866498740554156,100.98740211873977,132.66666666666666,4.56726944255607,7.199999999999999,2.1,11.766498740554155,7.199999999999999,3.6,5.4,1.7999999999999998,0.3333333333333333,0.3076923076923077,0.4117647058823529,0.6470588235294118,1.0588235294117647,0.1818181818181818,,0.1176470588235294,0.0588235294117647,0.1764705882352941,0.3333333333333333,0.4444444444444444,0.75,,,7.8123711340206174,230.4705882352941,Holden Summers,P,BS-H,Left,P,BS,171.05124259208208
