G,IP,BF,H,R,BB,IBB,K,HR,ERA,WHIP,H/6,HR/6,BB/6,K/6,K/BB,BAA,OBPA,SLGA,OPSA,BABIP_A,HR%_A,K%_A,BB%_A,GB%_A,FB%_A,GB/FB_A,Avg Diff,RE24,WPA,AB_A,SF_A,SH_A,2B_A,3B_A,GB_outs_A,FB_outs_A,Season,Pitcher ID,FIP,nIP,ERA+,GS,GF,CG,SHO,W,L,SV,HLD,WAR
7.0,14.666666666666666,68.0,21.0,14.0,5.0,0.0,6.0,6.0,5.7272727272727275,1.7727272727272727,8.590909090909092,2.4545454545454546,2.045454545454546,2.4545454545454546,1.2,0.3387096774193548,0.38235294117647056,0.7741935483870968,1.1565464895635673,0.29411764705882354,0.08823529411764706,0.08823529411764706,0.07352941176470588,0.6486486486486487,0.35135135135135137,1.8461538461538463,240.8985507246377,3.711071388353752,-0.6166999999999998,62.0,1.0,0.0,7.0,1.0,24.0,13.0,S11,3,6.785940679500975,16.666666666666668,79,1.0,5.0,0.0,0.0,3,3,0,0,-0.09701927340993013
5.0,19.333333333333332,80.0,20.0,10.0,3.0,0.0,15.0,1.0,3.103448275862069,1.1896551724137931,6.206896551724139,0.31034482758620696,0.9310344827586208,4.655172413793103,5.0,0.2597402597402597,0.2875,0.4155844155844156,0.7030844155844156,0.3114754098360656,0.0125,0.1875,0.0375,0.3488372093023256,0.6511627906976745,0.5357142857142857,256.075,1.9106059462880802,0.20469999999999994,77.0,0.0,0.0,9.0,0.0,15.0,28.0,S11,5,0.8494203033254258,19.666666666666668,82,5.0,1.0,1.0,1.0,1,3,0,0,0.13139571763642147
7.0,31.333333333333332,141.0,34.0,18.0,17.0,0.0,33.0,6.0,3.446808510638298,1.627659574468085,6.510638297872341,1.148936170212766,3.2553191489361706,6.319148936170214,1.9411764705882353,0.2764227642276423,0.3617021276595745,0.4878048780487805,0.8495070057083549,0.32941176470588235,0.0425531914893617,0.23404255319148937,0.12056737588652482,0.5081967213114754,0.4918032786885246,1.0333333333333334,250.46206896551723,-5.698076321594755,-0.12879999999999991,123.0,1.0,0.0,6.0,1.0,31.0,30.0,S11,37,3.2738517046460425,32.0,89,6.0,4.0,4.0,1.0,3,1,0,0,1.1381368825269425
9.0,34.0,147.0,31.0,21.0,18.0,2.0,31.0,4.0,3.7058823529411766,1.4411764705882353,5.470588235294118,0.7058823529411764,3.1764705882352944,5.470588235294118,1.7222222222222223,0.24603174603174602,0.3333333333333333,0.49206349206349204,0.8253968253968254,0.2872340425531915,0.027210884353741496,0.2108843537414966,0.12244897959183673,0.4117647058823529,0.5882352941176471,0.7,255.7718120805369,-2.9111147788938503,0.17670000000000008,126.0,3.0,0.0,13.0,3.0,28.0,40.0,S11,39,2.5573310538325256,35.333333333333336,79,6.0,6.0,3.0,2.0,4,4,0,0,0.8836249516767442
5.0,10.333333333333334,46.0,9.0,7.0,7.0,0.0,10.0,2.0,4.064516129032258,1.5483870967741935,5.225806451612903,1.161290322580645,4.064516129032258,5.806451612903225,1.4285714285714286,0.23684210526315788,0.34782608695652173,0.5,0.8478260869565217,0.25925925925925924,0.043478260869565216,0.21739130434782608,0.15217391304347827,0.3684210526315789,0.631578947368421,0.5833333333333334,250.77083333333334,0.48832023609070496,0.17290000000000005,38.0,1.0,0.0,2.0,1.0,7.0,12.0,S11,59,3.8761166325801533,12.0,175,2.0,3.0,0.0,0.0,2,1,0,0,0.13658035594343648
1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,-0.26413286489939325,-0.1557,1.0,0.0,0.0,0.0,0.0,0.0,0.0,S11,73,,0.3333333333333333,6,,,,,0,0,0,0,0.030443990393254693
7.0,26.333333333333332,117.0,28.0,22.0,15.0,0.0,19.0,8.0,5.012658227848101,1.6329113924050633,6.379746835443038,1.8227848101265822,3.417721518987342,4.329113924050633,1.2666666666666666,0.27450980392156865,0.36752136752136755,0.6274509803921569,0.9949723479135244,0.26666666666666666,0.06837606837606838,0.1623931623931624,0.1282051282051282,0.4827586206896552,0.5172413793103449,0.9333333333333333,234.9262295081967,5.437036456390237,-0.9022,102.0,0.0,0.0,4.0,4.0,28.0,30.0,S11,76,5.478403280191424,27.0,85,6.0,3.0,2.0,0.0,2,2,0,0,-0.07211128895112555
7.0,22.666666666666668,89.0,22.0,10.0,3.0,0.0,11.0,5.0,2.6470588235294117,1.102941176470588,5.823529411764706,1.3235294117647058,0.7941176470588236,2.911764705882353,3.6666666666666665,0.2558139534883721,0.2808988764044944,0.5,0.7808988764044944,0.24285714285714285,0.056179775280898875,0.12359550561797752,0.033707865168539325,0.3508771929824561,0.6491228070175439,0.5405405405405406,259.82022471910113,-6.536387800561895,0.9360999999999999,86.0,0.0,0.0,6.0,0.0,20.0,37.0,S11,100,3.557331053832525,23.0,115,2.0,5.0,0.0,0.0,2,1,2,0,1.0123714274512572
8.0,32.333333333333336,129.0,27.0,11.0,9.0,0.0,16.0,3.0,2.0412371134020617,1.11340206185567,5.010309278350515,0.556701030927835,1.670103092783505,2.9690721649484533,1.7777777777777777,0.225,0.27906976744186046,0.38333333333333336,0.6624031007751938,0.2376237623762376,0.023255813953488372,0.12403100775193798,0.06976744186046512,0.691358024691358,0.30864197530864196,2.24,265.6046511627907,-9.995430632149873,0.219,120.0,0.0,0.0,8.0,1.0,56.0,25.0,S11,103,2.314759798526279,34.0,160,6.0,4.0,2.0,1.0,2,4,1,0,1.5195038667426697
5.0,20.0,77.0,14.0,4.0,8.0,0.0,24.0,4.0,1.2,1.1,4.199999999999999,1.2000000000000002,2.4000000000000004,7.199999999999999,3.0,0.2028985507246377,0.2857142857142857,0.4057971014492754,0.6915113871635611,0.24390243902439024,0.05194805194805195,0.3116883116883117,0.1038961038961039,0.6176470588235294,0.38235294117647056,1.6153846153846154,270.025,-7.760948618719631,0.7677999999999998,69.0,0.0,0.0,2.0,0.0,21.0,13.0,S11,112,2.6632134067737017,20.333333333333332,188,5.0,0.0,0.0,0.0,2,1,0,0,1.0864590624272465
5.0,26.0,108.0,22.0,12.0,10.0,0.0,11.0,5.0,2.769230769230769,1.2307692307692308,5.076923076923077,1.153846153846154,2.307692307692308,2.5384615384615383,1.1,0.2268041237113402,0.2962962962962963,0.4845360824742268,0.7808323787705231,0.2073170731707317,0.046296296296296294,0.10185185185185185,0.09259259259259259,0.5373134328358209,0.4626865671641791,1.1612903225806452,258.44144144144144,-4.275154048571102,0.4301999999999999,97.0,1.0,0.0,8.0,1.0,36.0,31.0,S11,114,4.07090571446601,26.333333333333332,145,5.0,3.0,3.0,1.0,1,2,0,0,0.8628314264151701
1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,2.0,206.66666666666666,-0.6773274224192527,0.0001,3.0,0.0,0.0,0.0,0.0,2.0,1.0,S11,117,1.2632134067737018,1.0,0,0.0,1.0,0.0,0.0,0,0,0,0,0.07982485395187137
4.0,17.333333333333332,69.0,17.0,8.0,4.0,0.0,8.0,4.0,2.7692307692307696,1.2115384615384617,5.884615384615385,1.3846153846153846,1.3846153846153846,2.769230769230769,2.0,0.26153846153846155,0.30434782608695654,0.5230769230769231,0.8274247491638796,0.24528301886792453,0.057971014492753624,0.11594202898550725,0.057971014492753624,0.4523809523809524,0.5476190476190477,0.8260869565217391,259.4225352112676,-2.101643828064729,-0.27540000000000003,65.0,0.0,0.0,5.0,0.0,19.0,23.0,S11,149,4.032444176004471,17.333333333333332,65,3.0,2.0,1.0,0.0,3,0,0,0,0.4882829521352333
